S220001,7,B,69.8,0,2,,,shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220002,1,B,69.8,0,1,,,glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220003,12,B,69.7,5,9,,,glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220004,2,B,41.3,22,51,,,slag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220005,3,B,41.3,23,52,,,slag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220006,13,B,69.7,7,10,,B22.0389,glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220007,11,B,24.42,2,137,,,pebble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220008,7,B,24.42,1,135,,,glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220009,14,B,69.7,1,11,,,glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220010,0,B,25.62,1,240,,,ceramic tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220011,30,B,24.42,26,143,,,ceramic tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220012,1,B,25.62,1,225,,,ceramic tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220013,46,B,25.61,5,116,,,ceramic tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220014,44,B,25.61,5,113,,,ceramic tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220015,45,B,25.61,5,113,,,ceramic tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220016,14,B,24.42,2,134,,,ceramic tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220017,19,B,24.42,27,144,,,obsidian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220018,15,B,25.61,5,114,,,shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220019,40,B,25.61,5,116,,,shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220020,42,B,25.61,19,122,,,carbon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220021,11,B,41.3,24,61,,837.67,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220022,11,B,42.21,39,114,,,slag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220023,9,B,41.3,24,61,,,slag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220024,41,B,25.61,19,124,,,carbon for dating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220025,15,B,69.7,1,11,,,shell casing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220026,,B,41.3,0,46,,,ceramic tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220027,6,B,24.42,0,129,,,ceramic tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220028,111,B,42.21,33,103,,,ceramic tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220029,3,B,24.42,0,131,,,ceramic tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220030,169,B,25.62,1,225,,,ceramic tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220031,170,B,25.62,0,222,,,ceramic tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220032,171,B,25.62,1,236,,,ceramic tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220033,61,B,25.61,19,130,,,obsidian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220034,,B,69.7,16,24,,,ceramic tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220035,13,B,41.3,24,62,,B22.0651,Phytoliths/split b/w Betty & Jeff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220036,,B,69.7,1,11,,,glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220037,25,B,24.42,8,148,,,gizzard stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220038,9,B,42.21,36,113,,,bone/stone?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220039,29,B,25.61,5,113,,,ceramic tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220040,21,B,42.21,40,117,,,ceramic tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220041,12,B,25.62,51,238,,,stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220042,6,B,25.62,50,235,,,metal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220043,47,B,25.61,19,125,,,carbon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220044,,B,69.7,7,115,,,metal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220045,19,B,69.7,7,13,,,slag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220046,,B,41.3,24,62,,,shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220047,48,B,25.61,19,125,,B22.0606,carbon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220048,57,B,24.42,26,156,,,metal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220049,23,B,69.7,7,15,,,glass- same as field 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220050,22,B,69.7,7,15,,,slag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220051,,B,69.7,7,18,,,tabun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220052,,B,69.7,7,18,,B22-0684,carbon for dating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220053,24,B,24.42,26,145,,,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220054,28,B,24.42,2,141,,,plaster in ceramic container,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220055,39,B,25.62,56,257,,,shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220056,40,B,25.62,55,231,,,ceramic tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220057,45,B,24.42,8,146,,,ceramic tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220058,5,B,69.8,1,2,,,plaster attached to base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220059,42,B,25.62,35,250,,,ceramic tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220060,41,B,25.62,35,250,,,ceramic tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220061,63,B,24.42,49,159,,,ceramic tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220062,6,B,41.3,21,56,,,slag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220063,,B,25.62,35,244,,,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220064,58,B,25.61,19,130,,,iron slag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220065,32,B,69.7,16,21,,,charcoal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220066,13,B,41.3,24,63,,,Phytoliths to Jeff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
