A220032,4,B,41.3,,47,X,,bead frag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220033,18,B,24.42,2,141,,,jar stopper,probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220034,21,B,24.42,2,137,,,jar stopper,probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220035,7,B,39.43,0,0,,B22.0434,mortar,probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220036,7,B,42.21,35,107,,,jar stopper,probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220037,27,B,24.42,2,141,,,tool,possible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220038,4,B,24.42,0,132,,,grinding stone,probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220039,7,B,24.42,0,132,,,spindle whorl,probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220040,12,B,41.3,24,62,,B22.0613,grinding stone,certain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220041,33,B,25.61,0,120,,,pestle,probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220042,13,B,25.62,1,240,,,grinding stone,probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220043,24,B,25.62,1,243,,,spindle whorl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220044,20,B,25.61,0,109,,,jar stopper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220045,19,B,25.62,1,236,,,mill stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220046,54,B,24.42,26,162,,,jar stopper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220047,9,B,25.61,5,113,,,needle frag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220048,10,B,25.61,5,113,,,pounder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220049,54,B,25.61,19,127,,,bead frag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220050,58,B,25.62,58,263,,,ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220051,38,B,25.61,19,123,,,bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220052,8,B,25.62,1,232,,,jar stopper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220053,18,B,25.62,1,229,,,grinding stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220054,23,B,25.61,5,117,,,hand grinder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220055,26,B,25.62,35,245,,,jar stopper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220056,2,B,42.21,33,103,,840.05,grinding stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220057,32,B,25.61,5,115,,,jar stopper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220058,29,B,24.42,54,142,,,spindle whorl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220059,25,B,25.61,5,118,,,hand grinder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220060,4,B,42.21,33,103,,,hand grinder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220061,17,B,25.62,1,223,,,grinding stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220062,17,B,24.42,2,141,,,jar stopper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220063,3,B,25.61,4,112,,,grinding stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220064,51,B,25.61,19,126,,,grinding stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220065,50,B,24.42,26,157,,,jar stopper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220066,48,B,24.42,26,150,,,jar stopper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220067,34,B,25.61,0,121,,,hand grinder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220068,49,B,24.42,26,150,,,jar stopper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220069,14,B,69.52,0,0,,B22.601,bangle frag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220070,2,B,42.21,33,103,,,mill stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220071,22,B,25.62,35,253,,,jar stopper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220072,20,B,42.21,39,118,,,jar stopper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220073,22,B,25.61,5,117,,,jar stopper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
