B220029,148,B,25.61,56,163,,,Bead,certain,,,,,donut,exactly,,,Complete,100,mod,,0.25,,,,,,,,DoA Karak,,,,,,,,,,,,,,
B220030,116,B,42.21,62,176,,,Bead,certain,,,,,circular,nearly,Bone,10YR8/4,Complete,100,very fine,,0.50,,,,1.39,0.44,whole,1,DoA Karak,,,,,,,,,,,,,,
B220031,29,B,69.7,25,42,,B22.1219,Bead,certain,,,,,circular,nearly,Stone,2.5Y6/0,Complete,100,mod,,0.67,,,,8.88,3.01,whole,1,DoA Karak,,,,,,,,,,,,,,
B220032,151,B,69.7,32,69,,B22.1914,Bead,certain,,,,,cylindrical,nearly,Stone,Gley 1 7/5G,Complete,100,find,,6.80,1.31,,,1.66,,whole,1,DoA Karak,,,,,,,,,,,,,,
B220033,147,B,25.62,68,313,,,Bead,certain,,,,,circular,exactly,Carnelian,10R4/8,Complete,100,mod,,0.89,6.09,0.10,,,2.37,whole,1,DoA Karak,,,,,,,,,,,,,,
B220034,160,B,25.62,70,318,,,Bead,probable,,,,,cylindrical,,,5YR8/2,,,,,0.04,2.58,,,3.11,1.16,whole,1,DoA Karak,,,,,,,,,,,,,,
B220035,98,B,42.21,43,165,,,Loom Weight,Certain,,,,,Spherical,Nearly,Clay,5YR7/4,Complete,100,Moderate,,140.00,5.76,5.86,4.10,,1.27,,,DoA Karak,,,,,,,,,,,,,,
B220036,64,B,42.21,53,154,,B22.1201,Loom Weight,certain,,,,,Pyramidal,Nearly,Clay,5YR7/3,Complete,100,Crude,,80.00,6.21,3.83,3.67,,0.84,,,DoA Karak,,,,,,,,,,,,,,
B220037,50,B,42.21,52,153,,,Loom Weight,certain,,,,,Rectangular,Nearly,Clay,5YR7/3,Partial,90,Moderate,,196.00,7.34,5.01,4.04,,,,,DoA Karak,,,,,,,,,,,,,,
B220038,83,B,42.21,55,157,,B22.1259,Loom Weight,certain,,,,,Pyramidal,nearly,Clay,2.5YR7/3,Partial,90,Mod,,805.00,13.18,8.21,7.23,,0.83,,,DoA Karak,,,,,,,,,,,,,,
B220039,87,B,42.21,55,157,,B22.1265,Loom Weight,Certain,,,,,Pyramidal,nearly,Clay,7.5YR7/4,Partial,90,Mod,,195.00,6.70,4.14,4.04,,0.47,,,DoA Karak,,,,,,,,,,,,,,
B220040,66,B,42.21,53,154,,B22.1203,Loom Weight,probable,,,,,Pyramidal,Slightly,Clay,5YR7/2,Complete,100,Crude,,605.00,11.00,6.34,6.21,,0.83,,,DoA Karak,,,,,,,,,,,,,,
B220041,97,B,42.21,43,164,,,Loom Weight,certain,,,,,Rectangular,nearly,Ceramic,5YR7/1,Complete,100,Moderate,,160.00,7.26,4.12,4.10,,0.37,,,DoA Karak,,,,,,,,,,,,,,
B220042,41,B,41.3,28,82,,,Bead,certain,,,,,Cirular,exactly,Bone,5YR8/3,Complete,100,Fine,,0.01,,,,0.20,,,,DoA Karak,,,,,,,,,,,,,,
B220043,4,B,41.3,0,47,,B22.0247,Bead,Certain,,,,,Circular,exactly,Stone,10YR8/2,Complete,100,Fine,,7.71,2.24,2.22,1.10,,,,,DoA Karak,,,,,,,,,,,,,,
